id;Gemeente;Screening;Percentage;
177;Raalte;Borstkanker 2022-2024;81,7;
1667;Reusel-De Mierden;Borstkanker 2022-2024;81,3;
755;Boekel;Borstkanker 2022-2024;81,1;
823;Oirschot;Borstkanker 2022-2024;80,7;
183;Tubbergen;Borstkanker 2022-2024;80,6;
1903;Eijsden-Margraten;Borstkanker 2022-2024;80,3;
1586;Oost Gelre;Borstkanker 2022-2024;80,3;
770;Eersel;Borstkanker 2022-2024;80,1;
177;Raalte;Darmkanker 2024;80;
845;Sint-Michielsgestel;Borstkanker 2022-2024;80;
189;Wierden;Borstkanker 2022-2024;80;
523;Hardinxveld-Giessendam;Borstkanker 2022-2024;79,9;
432;Opmeer;Darmkanker 2024;79,8;
762;Deurne;Borstkanker 2022-2024;79,5;
1721;Bernheze;Darmkanker 2024;79,4;
1728;Bladel;Borstkanker 2022-2024;79,2;
1667;Reusel-De Mierden;Darmkanker 2024;79,2;
277;Rozendaal;Borstkanker 2022-2024;79,1;
1724;Bergeijk;Borstkanker 2022-2024;79;
1774;Dinkelland;Borstkanker 2022-2024;79;
946;Nederweert;Borstkanker 2022-2024;79;
1894;Peel en Maas;Borstkanker 2022-2024;79;
668;West Maas en Waal;Darmkanker 2024;79;
1652;Gemert-Bakel;Borstkanker 2022-2024;78,8;
163;Hellendoorn;Borstkanker 2022-2024;78,8;
183;Tubbergen;Darmkanker 2024;78,8;
148;Dalfsen;Darmkanker 2024;78,7;
798;Hilvarenbeek;Borstkanker 2022-2024;78,7;
1705;Lingewaard;Darmkanker 2024;78,7;
1705;Lingewaard;Borstkanker 2022-2024;78,7;
762;Deurne;Darmkanker 2024;78,6;
1723;Alphen-Chaam;Borstkanker 2022-2024;78,5;
1884;Kaag en Braassem;Borstkanker 2022-2024;78,5;
1931;Krimpenerwaard;Borstkanker 2022-2024;78,4;
858;Valkenswaard;Borstkanker 2022-2024;78,4;
743;Asten;Borstkanker 2022-2024;78,3;
755;Boekel;Darmkanker 2024;78,2;
1842;Midden-Delfland;Borstkanker 2022-2024;78,2;
668;West Maas en Waal;Borstkanker 2022-2024;78,2;
893;Bergen (L);Borstkanker 2022-2024;78,1;
